"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Philipp Grubauer","2022-02-22","2021020595","20212022","SEA","NYI","1","G",58.77,97.94,4.27,39.67,44.44,2.83,89.23,90.38,93.63,-3.24,-1.44
"Philipp Grubauer","2022-02-24","2021020822","20212022","SEA","BOS","1","G",60.07,99.2,3.04,39.75,57.51,3.06,92.35,94.71,94.68,0.03,0.02
"Philipp Grubauer","2022-02-27","2021020846","20212022","SEA","S.J","0","G",56.8,94.67,2.88,24.36,34.31,1.82,88.18,91.61,94.69,-3.08,-1.06
"Philipp Grubauer","2022-03-06","2021020892","20212022","SEA","CAR","0","G",57.35,95.58,2.68,31.66,43.11,3.1,91.55,93.79,92.81,0.98,0.42
"Philipp Grubauer","2022-03-08","2021020902","20212022","SEA","TOR","0","G",57.95,96.58,4.74,30.98,49.22,3.42,84.69,90.36,93.05,-2.68,-1.32
"Philipp Grubauer","2022-03-12","2021020933","20212022","SEA","MTL","0","G",64.97,99.95,2.81,30.63,38.62,2.77,90.81,92.71,92.84,-0.13,-0.05
"Philipp Grubauer","2022-03-16","2021020967","20212022","SEA","T.B","1","G",59.9,99.83,4.34,45.93,61.61,4.11,90.55,92.95,93.33,-0.38,-0.24
"Philipp Grubauer","2022-03-19","2021020993","20212022","SEA","DET","1","G",59.83,99.72,2.24,24.44,32.91,1.89,90.82,93.18,94.24,-1.06,-0.35
"Philipp Grubauer","2022-03-22","2021021017","20212022","SEA","ARI","0","G",59.87,99.78,1.88,25.01,34.02,2.51,92.49,94.48,92.62,1.86,0.63
"Philipp Grubauer","2022-03-26","2021021044","20212022","SEA","L.A","0","G",60,100,3.8,27.9,47.44,4.03,86.36,91.98,91.5,0.48,0.23
"Philipp Grubauer","2022-04-01","2021021089","20212022","SEA","VGK","1","G",58.92,98.19,3.2,27.23,35.42,2.41,88.24,90.96,93.19,-2.24,-0.79
"Philipp Grubauer","2022-04-07","2021021132","20212022","SEA","CHI","0","G",60,100,0,26.5,38.56,1.97,100,100,94.88,5.12,1.97
"Philipp Grubauer","2022-04-09","2021021154","20212022","SEA","CGY","1","G",58.3,97.17,3.21,31.16,44.87,3.16,89.69,92.84,92.95,-0.11,-0.05
"Philipp Grubauer","2022-04-16","2021021209","20212022","SEA","N.J","1","G",65,100,3.13,27.91,46.66,3.02,88.77,93.28,93.53,-0.24,-0.11
"Philipp Grubauer","2022-04-20","2021021232","20212022","SEA","COL","1","G",59.97,99.94,2.02,25.34,36.6,1.9,92.01,94.47,94.82,-0.35,-0.13
"Philipp Grubauer","2022-04-22","2021021245","20212022","SEA","MIN","0","G",59.9,99.83,5.71,35.1,41.4,4.47,83.74,86.22,89.21,-3,-1.24
"Philipp Grubauer","2022-04-27","2021021289","20212022","SEA","L.A","1","G",58.28,97.14,4.1,27.2,39.83,2.23,84.94,89.71,94.4,-4.69,-1.87
"Philipp Grubauer","Total","-","21-22","SEA","-","-","G",56.57,93.51,165.51,1517.87,2118.63,133.98,89.1,92.19,93.68,-1.49,-31.53
