"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CGY","2022-12-10","2022020438","20222023","TOR","0",60.72,48.21,46.08,44.49,45.48,40.61,4.28,4.6,27.54,32.22,34.14,42.6,45.97,55.11,1.83,2.68,-0.32,-4.68,-8.46,-9.14,-0.85
"CGY","2022-12-12","2022020448","20222023","MTL","0",65,53.45,51.45,49.55,49.9,35.44,1.08,0.94,37.41,35.3,49.17,50.08,70.31,70.58,3.08,5.6,0.14,2.11,-0.9,-0.27,-2.53
"CGY","2022-12-14","2022020468","20222023","VAN","1",65,46.65,56,53.6,50.88,51.85,2.75,3.14,36.13,28.39,50.23,43.49,62.5,60.34,3.82,3.55,-0.4,7.75,6.74,2.15,0.27
"CGY","2022-12-16","2022020482","20222023","STL","1",60,25.96,59.57,61.07,60.31,52.55,1.88,5.35,39.15,26.57,56.01,35.71,68.58,45.13,3.09,2.79,-3.48,12.58,20.3,23.45,0.3
"CGY","2022-12-18","2022020501","20222023","S.J","0",60,75.87,54.09,58.94,62.8,59.79,5.45,1.73,27.53,23.37,45.38,31.62,61.65,36.52,3.68,2.48,3.71,4.16,13.76,25.12,1.21
"CGY","2022-12-20","2022020517","20222023","S.J","0",60,72.38,63.77,65.91,65.53,65.36,7.38,2.81,43.36,24.63,59.31,30.68,83.59,43.98,4.62,2.45,4.56,18.73,28.63,39.61,2.17
"CGY","2022-12-22","2022020531","20222023","L.A","0",63.38,44.09,49.56,47.83,51.76,49.38,3.08,3.9,30.32,30.86,41.71,45.49,62.72,58.45,3.15,3.23,-0.82,-0.54,-3.78,4.27,-0.08
"CGY","2022-12-23","2022020544","20222023","ANA","0",62.4,63.48,69.92,67.42,64.86,69.61,3.09,1.78,49.38,21.25,71.9,34.74,89.45,48.47,5.08,2.22,1.31,28.13,37.16,40.98,2.86
"CGY","2022-12-27","2022020555","20222023","EDM","1",60,31.15,66.18,69.84,72.19,65.01,0.94,2.09,44.8,22.9,62.7,27.08,86.63,33.37,4.22,2.27,-1.14,21.91,35.62,53.26,1.95
"CGY","2022-12-28","2022020561","20222023","SEA","0",60,62.42,60.92,59.96,56.74,65.63,3.13,1.88,46.66,29.93,64.89,43.33,74.43,56.74,5.83,3.05,1.25,16.73,21.56,17.69,2.77
"CGY","2022-12-31","2022020587","20222023","VAN","1",60,59.12,56.15,56.48,54.84,66.97,2.93,2.02,30.27,23.64,43.51,33.52,52.17,42.97,3.68,1.82,0.9,6.63,9.98,9.2,1.87
"CGY","2023-01-03","2022020603","20222023","WPG","0",60,41.65,59.46,55.76,54.07,60.34,2.02,2.84,35.88,24.47,50.41,39.99,66.55,56.53,2.57,1.69,-0.81,11.42,10.41,10.02,0.88
"CGY","2023-01-06","2022020626","20222023","NYI","1",60,79.44,48.97,59.3,64.49,50.8,3.91,1.01,22.48,23.42,39.56,27.15,61.48,33.85,2.05,1.99,2.9,-0.94,12.41,27.63,0.06
"CGY","2023-01-08","2022020640","20222023","CHI","0",61.07,43.6,65.43,65.86,64.57,56.51,3.02,3.91,47.02,24.84,63.15,32.74,85.68,47.02,3.67,2.82,-0.89,22.18,30.41,38.66,0.84
"CGY","2023-01-10","2022020655","20222023","STL","0",60.47,45,56.48,59.98,62.73,61.91,3.14,3.84,32.98,25.41,50.71,33.84,63.11,37.5,3.43,2.11,-0.7,7.57,16.87,25.61,1.32
"CGY","2023-01-12","2022020670","20222023","STL","0",60,81.61,62.93,60.99,62.03,60.92,4.16,0.94,41.83,24.64,55.98,35.81,70.85,43.36,3.84,2.46,3.22,17.19,20.17,27.49,1.38
"CGY","2023-01-14","2022020677","20222023","DAL","0",60,58.98,57.93,57.8,60.11,62.78,6.64,4.62,42.01,30.51,59.75,43.62,80.96,53.71,3.56,2.11,2.02,11.5,16.12,27.24,1.45
